,Ticker,mkt_cap,pb_ratio,beta,profit_margin,ROA,ROE
341,NBL,4.3,0.98,2.63,-1.4304,-0.0416,-0.7404999999999999
342,NSC,44.79,3.01,1.39,0.2047,0.0599,0.1389
343,NTRS,16.51,1.65,1.04,0.2359,0.0103,0.12890000000000001
344,NOC,51.25,5.66,0.77,0.0691,0.048499999999999995,0.25329999999999997
345,NLOK,11.68,1170.0,1.15,1.6214,0.041100000000000005,0.2903
346,NCLH,4.21,0.96,2.75,-0.4346,-0.0026,-0.386
347,NRG,7.95,5.18,0.97,0.4434,0.0861,70.595
348,NUE,12.47,1.23,1.47,0.024900000000000002,0.0462,0.057699999999999994
349,NVDA,261.97,20.0,1.53,0.2593,0.1167,0.27940000000000004
350,NVR,12.02,4.97,1.09,0.1149,0.14980000000000002,0.3465
351,ORLY,31.24,287.06,1.08,0.1445,0.122,4.2200999999999995
352,OXY,16.8,0.78,1.86,-0.5615,-0.0622,-0.47
353,ODFL,19.9,6.6,1.04,0.1495,0.1257,0.20379999999999998
354,OMC,11.85,4.84,0.68,0.0672,0.047400000000000005,0.3258
355,OKE,14.76,2.65,1.99,0.0713,0.0535,0.09880000000000001
356,ORCL,175.59,14.54,0.82,0.2613,0.08289999999999999,0.703
357,OTIS,24.62,,,0.073,,
358,PCAR,25.88,2.69,1.14,0.0795,0.04769999999999999,0.1696
359,PKG,9.46,3.0,1.22,0.0765,0.0808,0.1699
360,PH,23.5,3.74,1.69,0.08810000000000001,0.0667,0.19949999999999998
361,PAYX,25.93,9.4,0.91,0.2718,0.106,0.40659999999999996
362,PAYC,17.84,29.74,1.6,0.2223,0.0756,0.3452
363,PYPL,204.37,12.8,1.14,0.1344,0.0327,0.1527
364,PNR,6.3,3.33,1.35,0.1158,0.06570000000000001,0.1814
365,PBCT,4.91,0.66,1.17,0.26780000000000004,0.0087,0.0666
366,PEP,183.18,13.6,0.58,0.1013,0.0793,0.5181
367,PKI,10.93,3.96,1.36,0.0987,0.043899999999999995,0.10369999999999999
368,PRGO,7.54,1.3,1.16,0.0473,0.026600000000000002,0.041299999999999996
369,PFE,181.62,2.79,0.66,0.28809999999999997,0.054900000000000004,0.2281
370,PM,109.1,,0.79,0.2498,0.17350000000000002,
371,PSX,31.4,1.47,1.51,-0.013500000000000002,0.0195,-0.0352
372,PNW,8.25,1.51,0.27,0.17370000000000002,0.0253,0.11289999999999999
373,PXD,16.05,1.31,1.79,0.0518,0.0364,0.036000000000000004
374,PNC,44.71,0.91,1.23,0.5149,0.0073,0.061900000000000004
375,PPG,25.03,5.3,1.26,0.0723,0.0525,0.20149999999999998
376,PPL,19.87,1.5,0.77,0.2262,0.0433,0.1388
377,PFG,11.38,0.88,1.56,0.0782,0.0036,0.0868
378,PG,296.5,6.64,0.41,0.18359999999999999,0.0857,0.2774
379,PGR,46.9,3.38,0.54,0.10859999999999999,0.0642,0.2917
380,PLD,68.95,2.14,0.91,0.40850000000000003,0.021,0.060599999999999994
381,PRU,24.03,0.4,1.7,-0.0022,0.0002,-0.0017000000000000001
382,PEG,24.78,1.62,0.56,0.1809,0.0323,0.115
383,PSA,33.48,6.77,0.16,0.4972,0.0799,0.1606
384,PHM,9.13,1.65,1.44,0.1094,0.09359999999999999,0.2127
