,Symbol,Security,GICS Sector,GICS Sub Industry,CIK
171,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,821189
172,EFX,Equifax Inc.,Industrials,Research & Consulting Services,33185
173,EQIX,Equinix,Real Estate,Specialized REITs,1101239
174,EQR,Equity Residential,Real Estate,Residential REITs,906107
175,ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,920522
176,EL,Estée Lauder Companies,Consumer Staples,Personal Products,1001250
177,EVRG,Evergy,Utilities,Electric Utilities,1711269
178,ES,Eversource Energy,Utilities,Multi-Utilities,72741
179,RE,Everest Re Group Ltd.,Financials,Reinsurance,1095073
180,EXC,Exelon Corp.,Utilities,Multi-Utilities,1109357
181,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,1324424
182,EXPD,Expeditors,Industrials,Air Freight & Logistics,746515
183,EXR,Extra Space Storage,Real Estate,Specialized REITs,1289490
184,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,34088
185,FFIV,F5 Networks,Information Technology,Communications Equipment,1048695
186,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,1326801
187,FAST,Fastenal Co,Industrials,Building Products,815556
188,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,34903
189,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,1048911
190,FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,1136893
191,FITB,Fifth Third Bancorp,Financials,Regional Banks,35527
192,FE,FirstEnergy Corp,Utilities,Electric Utilities,1031296
193,FRC,First Republic Bank,Financials,Regional Banks,1132979
194,FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,798354
195,FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,1175454
196,FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,354908
197,FLS,Flowserve Corporation,Industrials,Industrial Machinery,30625
198,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,37785
199,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,37996
200,FTNT,Fortinet,Information Technology,Systems Software,1262039
201,FTV,Fortive Corp,Industrials,Industrial Machinery,1659166
202,FBHS,Fortune Brands Home & Security,Industrials,Building Products,1519751
203,FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,1308161
204,FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,1308161
205,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,38777
206,FCX,Freeport-McMoRan Inc.,Materials,Copper,831259
207,GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,39911
208,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,1121788
209,IT,Gartner Inc,Information Technology,IT Consulting & Other Services,749251
210,GD,General Dynamics,Industrials,Aerospace & Defense,40533
211,GE,General Electric,Industrials,Industrial Conglomerates,40545
212,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,40704
213,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,1467858
214,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,40987
215,GILD,Gilead Sciences,Health Care,Biotechnology,882095
216,GL,Globe Life Inc.,Financials,Life & Health Insurance,320335
217,GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,1123360
218,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,886982
219,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,277135
220,HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,12659
221,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,45012
222,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1359841
223,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,874766
224,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,46080
225,HCA,HCA Healthcare,Health Care,Health Care Facilities,860730
226,PEAK,Healthpeak Properties,Real Estate,Health Care REITs,765880
227,HSIC,Henry Schein,Health Care,Health Care Distributors,1000228
